Department Family,Entity,Paid Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Description,Post Code,Country
Department of Health,NHS Business Services Authority,14/06/2024,Software Licences,"Digital, Data & Technology",AGILISYS LIMITED,80149274,"40,000.00",Change Notice Number:  PCN0297 - Proof,W12 7RZ,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Cloud Storage,"Digital, Data & Technology",AGILISYS LIMITED,80149976,"306,235.88",Agilisys Cloud Brokerage Services DDAT,W12 7RZ,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,External Project Support,"Digital, Data & Technology",AGILISYS LIMITED,80149981,"59,976.00",AWS Professional Services for Amazon,W12 7RZ,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,External Project Support,"Digital, Data & Technology",AGILISYS LIMITED,80149981,"6,529.43",Staff Consultant,W12 7RZ,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,External Project Support,"Digital, Data & Technology",AGILISYS LIMITED,80149981,"21,772.80",Associate Consultant,W12 7RZ,Great Britain
Department of Health,NHS Business Services Authority,07/06/2024,Exemption Check Costs,Operations,INDESSER,80148863,"43,066.66",NHS EHIC PSG LICENSE FEE APR2024,LS1 4AP,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Rent,"Finance, Commercial & Estates",CANAL & RIVER TRUST,80149664,"103,405.40",GREENFINCH RENT,CH65 4FW,Great Britain
Department of Health,NHS Business Services Authority,21/06/2024,Software Licences,"Digital, Data & Technology",EGRESS SOFTWARE TECHNOLOGIES LTD,80149784,"30,000.00",Provision of 250 Workspace Egress,EC1Y 8AF,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Rent,"Finance, Commercial & Estates",GOVERNMENT PROPERTY AGENCY,80149792,"3,336.25",STELLA HSE 01/07/2024-30/09/2024,B2 2QQ,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Rent,"Finance, Commercial & Estates",GOVERNMENT PROPERTY AGENCY,80149792,"137,879.50",STELLA HSE 01/07/2024-30/09/2024,B2 2QQ,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Rent,"Finance, Commercial & Estates",GOVERNMENT PROPERTY AGENCY,80149793,"220,390.50",BRIDGE HOUSE 01/07/2024-30/09/2024,B2 2QQ,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Rent,"Finance, Commercial & Estates",GOVERNMENT PROPERTY AGENCY,80149793,"3,336.25",BRIDGE HOUSE 01/07/2024-30/09/2024,B2 2QQ,Great Britain
Department of Health,NHS Business Services Authority,25/06/2024,Exemption Check Costs,Operations,DWP,80149890,"68,433.12",DWP Maintenance & Support Costs for RTEC,NP10 8FZ,Great Britain
Department of Health,NHS Business Services Authority,25/06/2024,Hard FM Contract,"Finance, Commercial & Estates",ROBERTSON FACILITIES MANAGEMENT LTD,80149835,"412,394.58",Total Facilities Management Planned,FK9 4TZ,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Medical Assessments,Primary Care Services,CRAWFORD & COMPANY ADJUSTERS LTD,80150002,"1,093,247.48",The delivery of medical assessments,MK9 2AH,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Medical Assessments,Primary Care Services,CRAWFORD & COMPANY ADJUSTERS LTD,80150002,"31,322.34",difference,MK9 2AH,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Medical Assessments,Primary Care Services,CRAWFORD & COMPANY ADJUSTERS LTD,80150002,"260,000.01",Vaccine Damage Payment Scheme Medical,MK9 2AH,Great Britain
